date,Open,High,Low,Close,Volume_(BTC)
2013-04-01 01:00:00,93.7,93.79,93.7,93.79,54.12
2013-04-01 02:00:00,94.068,94.068,94.0,94.0,61.25
2013-04-01 02:30:00,94.0,94.48,94.0,94.0,144.55
2013-04-01 04:00:00,93.55,93.55,93.55,93.55,4.172
2013-04-01 04:30:00,93.55,94.0,93.55,94.0,5.156
2013-04-01 05:00:00,94.23,94.23,94.23,94.23,4.826
2013-04-01 06:00:00,94.4,95.0,94.0,95.0,559.95
2013-04-01 07:30:00,94.05,96.0,94.0,96.0,612.749
2013-04-01 08:00:00,96.675,98.1,95.983,97.48,425.979
2013-04-01 08:30:00,97.7,98.5,97.0,98.5,110.121
2013-04-01 09:00:00,97.4,98.563,97.4,98.563,66.64
2013-04-01 09:30:00,98.55,99.9,98.5,99.9,136.71
2013-04-01 10:00:00,99.621,101.02,99.0,101.02,160.985
2013-04-01 10:30:00,101.45,105.0,100.0,103.5,1433.754
2013-04-01 11:00:00,105.9,105.9,96.3,98.8,2395.056
2013-04-01 11:30:00,99.0,102.7,98.9,102.215,1227.616
2013-04-01 12:00:00,103.29,104.5,103.2,103.2,932.81
2013-04-01 12:30:00,103.02,103.3,102.1,102.179,447.063
2013-04-01 13:00:00,102.2,103.18,102.0,103.18,98.04
2013-04-01 13:30:00,103.0,103.0,102.99,103.0,7.57
2013-04-01 14:00:00,102.5,102.5,102.5,102.5,19.6
2013-04-01 15:00:00,103.458,103.63,102.111,103.63,311.361
2013-04-01 15:30:00,103.899,104.4,103.899,104.0,245.0
2013-04-01 17:00:00,103.95,104.49,103.1,103.207,267.878
2013-04-01 17:30:00,104.5,104.5,104.01,104.01,159.25
2013-04-01 18:00:00,105.5,105.5,105.5,105.5,24.5
2013-04-01 18:30:00,105.0,105.0,105.0,105.0,93.615
2013-04-01 19:00:00,103.0,103.0,103.0,103.0,171.5
2013-04-01 19:30:00,102.231,103.999,102.231,103.999,269.747
2013-04-01 20:00:00,104.0,104.019,103.99,103.99,14.745
2013-04-01 20:30:00,103.5,103.5,103.0,103.249,84.035
2013-04-01 21:00:00,102.9,103.68,102.33,102.93,41.332
2013-04-01 21:30:00,103.38,103.7,102.37,102.37,70.783
2013-04-01 22:00:00,102.8,103.679,102.8,103.4,92.706
2013-04-01 22:30:00,104.09,104.999,103.988,104.999,24.615
2013-04-01 23:00:00,105.0,105.0,105.0,105.0,127.4
2013-04-01 23:30:00,104.86,105.6,104.7,104.75,89.09
2013-04-02 00:00:00,104.72,106.0,103.5,104.239,424.906
2013-04-02 00:30:00,104.998,104.998,104.998,104.998,1.389
2013-04-02 01:00:00,103.0,103.0,99.0,103.0,2774.213
2013-04-02 01:30:00,103.0,103.08,102.0,102.98,483.892
2013-04-02 02:00:00,102.99,103.0,102.0,102.0,98.0
2013-04-02 02:30:00,102.0,102.0,101.02,101.074,73.5
2013-04-02 03:00:00,102.798,102.798,102.0,102.747,173.664
2013-04-02 04:00:00,102.777,103.381,102.777,103.381,31.37
2013-04-02 04:30:00,103.381,104.9,103.381,104.5,432.42
2013-04-02 05:00:00,105.0,105.4,103.528,105.4,1346.782
2013-04-02 05:30:00,104.9,105.51,104.9,105.3,155.749
2013-04-02 06:00:00,105.45,105.51,105.45,105.45,154.276
2013-04-02 06:30:00,106.0,107.65,103.77,105.33,2619.158
2013-04-02 07:00:00,105.35,106.4,104.4,105.01,401.246
2013-04-02 07:30:00,105.98,106.6,105.98,106.6,149.45
2013-04-02 08:00:00,106.5,107.121,106.201,107.121,122.5
2013-04-02 08:30:00,107.775,107.975,107.65,107.9,107.947
2013-04-02 09:00:00,107.9,108.04,107.2,107.2,285.145
2013-04-02 09:30:00,107.987,107.99,107.2,107.2,154.061
2013-04-02 10:00:00,107.8,108.86,107.5,108.5,257.441
